Question,labels
JESSICA TELL ME WHAT YOU'VE COME TO TALK TO ME ABOUT TODAY,0
YES ABOUT CHURCH CAN YOU TELL ME WHEN YOU LAST WENT TO CHURCH EVERYTHING THAT HAPPENED THAT DAY,5
START FROM THE BEGINNING,0
YEAH,13
AH-HA,13
YEAH,13
OKAY,13
OKAY AND THEN WHAT DID YOU DO,1
YEAH,13
HM-HM,13
OKAY SO TELL ME ABOUT THAT PART,2
YEAH,13
OKAY,13
OKAY AND WHAT HAPPENED NEXT,1
YEAH,13
AND THEN WHAT HAPPENED,1
HM-HM,13
YEAH,13
AND THEN WHAT HAPPENED,1
OKAY,13
OKAY AND WHAT HAPPENED NEXT,1
YEAH,13
OKAY CAN I JUST TAKE YOU BACK TO WHEN THE MAN WAS IN THE TOILET AND HE TOLD YOU TO BE QUIET,3
DID HE SAY ANYTHING ELSE TO YOU,5
TELL ME WHAT HE SAID,4
YEAH,13
OKAY DID YOU KNOW THE MAN JESSICA,5
HOW DID YOU KNOW THE MAN,4
OKAY DO YOU KNOW THE MAN'S NAME,5
OKAY HAD THE MAN SPOKEN TO YOU BEFORE,5
CAN YOU TELL ME WHAT HAPPENED WHEN THE MAN SPOKE TO YOU BEFORE,5
FROM THE BEGINNING,0
HM-HM,13
OKAY AND HAS THE MAN EVER COME INTO THE TOILETS BEFORE,5
OKAY IS THERE ANYTHING ELSE THAT YOU CAN TELL ME JESSICA ABOUT THAT TIME IN THE TOILETS,5
OKAY OKAY WELL THANKS FOR TALKING TO ME JESSICA AND THANKS FOR TELLING ME ABOUT WHAT HAPPENED TO YOU AND I'M GLAD THAT THE MAN WENT AWAY AND THE LADY HELPED YOU WHEN YOU WERE ABLE TO GO BACK TO YOUR MUM,13
AND I MIGHT HAVE A CHAT WITH YOUR MUM THEN ABOUT THAT BUT THANK YOU FOR TALKING TO ME AND YOU'VE GOT A VERY GOOD MEMORY AND YOU'VE TOLD ME LOTS OF THINGS THAT HAPPENED SO THAT'S BEEN REALLY GOOD,13
HARRY WHAT YOU'VE COME HERE TO TALK TO ME ABOUT TODAY,0
HM I HEARD THAT UNCLE GEORGE WAS RUDE TO YOU IS UNCLE GEORGE RUDE TO YOU,10
WELL I WASN'T WITH YOU WHEN UNCLE GEORGE WAS RUDE TO YOU SO TELL ME EVERYTHING THAT HAPPENED AND WE'LL START FROM THE BEGINNING,0
HM,13
HE LOOKS AFTER YOU WHEN MUM'S AT WORK,13
SO WHAT HAPPENED WHEN YOU WERE AT UNCLE GEORGE'S HOUSE,2
YEAH,13
HM-HM AND WHAT HAPPENED NEXT,1
HM-HM,13
HM-HM AND WHAT HAPPENED THEN,1
HM-HM,13
AND WHAT ELSE HAPPENED,1
AND WHAT HAPPENED THEN,1
HM-HM,13
YOU WENT HOME WITH MUM,13
OKAY SO YOU SAID THAT YOU WENT TO UNCLE GEORGE'S HOUSE WHEN MUM WAS AT WORK,13
AND TELL ME MORE ABOUT WHEN THAT HAPPENED,2
OKAY SO WHAT HAPPENED FIRST WHEN YOU GOT THERE,4
AND WHAT WAS UNCLE GEORGE DOING WHEN YOU WERE WATCHING TV,4
ALL RIGHT TELL ME MORE ABOUT THE PART WHEN HE WAS ON THE COMPUTER,2
CAN YOU DESCRIBE THE RUDE PEOPLE,5
HM-HM TELL ME MORE ABOUT THE RUDE PEOPLE,3
YEAH AND THEN WHAT HAPPENED NEXT,1
OKAY CAN YOU TELL ME MORE ABOUT THE GAME FOR THE BIG BOY,5
WHAT HAPPENED WITH THE BIG BOY GAME,4
OKAY SO AFTER THAT GAME WHAT HAPPENED THEN,1
OKAY SO I DON'T KNOW YOUR FAMILY CAN YOU TELL ME ABOUT MEMBERS OF YOUR FAMILY,5
HM-HM WHO IS IN YOUR FAMILY,3
AND DO YOU KNOW IF UNCLE GEORGE IS SOMETIMES CALLED A DIFFERENT NAME,5
NO OKAY AND DO YOU KNOW IF A WILLY IS SOMETIMES CALLED A DIFFERENT NAME,5
WHAT OTHER NAMES DO YOU KNOW FOR THAT WORD,4
AND WHO WAS AT UNCLE GEORGE'S PLACE WHEN YOU WENT THERE THIS DAY,4
HM-HM SO YOU SAID THAT HE SQUEEZED YOUR WILLY REALLY HARD AND YOU CRIED,13
HOW LONG DID HE SQUEEZE YOUR WILLY,3
AND DID UNCLE GEORGE SAY ANYTHING WHEN THAT HAPPENED,5
HAVE YOU SEEN UNCLE GEORGE SINCE THEN,5
NO AND HOW DO YOU FEEL NOW,3
FINE OKAY IS THERE ANYTHING ELSE YOU CAN TELL ME THAT I MIGHT NEED TO KNOW,5
OKAY DO YOU HAVE ANY QUESTIONS FOR ME,5
NO OKAY WELL THANK YOU FOR TALKING TO ME TODAY I HOPE YOU HAVE A GREAT DAY AND I APPRECIATE YOUR CHAT,13
SO JESSICA WHAT HAVE YOU COME TO TALK TO ME ABOUT,0
