Question,Label
JESSICA TELL ME WHAT YOU'VE COME TO TALK TO ME ABOUT TODAY,0.0
YES ABOUT CHURCH CAN YOU TELL ME WHEN YOU LAST WENT TO CHURCH EVERYTHING THAT HAPPENED THAT DAY,4.0
START FROM THE BEGINNING,0.0
YEAH,4.0
AH-HA,4.0
YEAH,4.0
OKAY,4.0
OKAY AND THEN WHAT DID YOU DO,1.0
YEAH,4.0
HM-HM,4.0
OKAY SO TELL ME ABOUT THAT PART,1.0
YEAH,4.0
OKAY,4.0
OKAY AND WHAT HAPPENED NEXT,1.0
YEAH,4.0
AND THEN WHAT HAPPENED,1.0
HM-HM,4.0
YEAH,4.0
AND THEN WHAT HAPPENED,1.0
OKAY,4.0
OKAY AND WHAT HAPPENED NEXT,1.0
YEAH,4.0
OKAY CAN I JUST TAKE YOU BACK TO WHEN THE MAN WAS IN THE TOILET AND HE TOLD YOU TO BE QUIET,1.0
DID HE SAY ANYTHING ELSE TO YOU,2.0
TELL ME WHAT HE SAID,2.0
YEAH,4.0
OKAY DID YOU KNOW THE MAN JESSICA,2.0
HOW DID YOU KNOW THE MAN,2.0
OKAY DO YOU KNOW THE MAN'S NAME,2.0
OKAY HAD THE MAN SPOKEN TO YOU BEFORE,2.0
CAN YOU TELL ME WHAT HAPPENED WHEN THE MAN SPOKE TO YOU BEFORE,2.0
FROM THE BEGINNING,0.0
HM-HM,4.0
OKAY AND HAS THE MAN EVER COME INTO THE TOILETS BEFORE,2.0
OKAY IS THERE ANYTHING ELSE THAT YOU CAN TELL ME JESSICA ABOUT THAT TIME IN THE TOILETS,2.0
OKAY OKAY WELL THANKS FOR TALKING TO ME JESSICA AND THANKS FOR TELLING ME ABOUT WHAT HAPPENED TO YOU AND I'M GLAD THAT THE MAN WENT AWAY AND THE LADY HELPED YOU WHEN YOU WERE ABLE TO GO BACK TO YOUR MUM,4.0
AND I MIGHT HAVE A CHAT WITH YOUR MUM THEN ABOUT THAT BUT THANK YOU FOR TALKING TO ME AND YOU'VE GOT A VERY GOOD MEMORY AND YOU'VE TOLD ME LOTS OF THINGS THAT HAPPENED SO THAT'S BEEN REALLY GOOD,4.0
HARRY WHAT YOU'VE COME HERE TO TALK TO ME ABOUT TODAY,0.0
HM I HEARD THAT UNCLE GEORGE WAS RUDE TO YOU IS UNCLE GEORGE RUDE TO YOU,3.0
WELL I WASN'T WITH YOU WHEN UNCLE GEORGE WAS RUDE TO YOU SO TELL ME EVERYTHING THAT HAPPENED AND WE'LL START FROM THE BEGINNING,0.0
HM,4.0
HE LOOKS AFTER YOU WHEN MUM'S AT WORK,4.0
SO WHAT HAPPENED WHEN YOU WERE AT UNCLE GEORGE'S HOUSE,1.0
YEAH,4.0
HM-HM AND WHAT HAPPENED NEXT,1.0
HM-HM,4.0
HM-HM AND WHAT HAPPENED THEN,1.0
HM-HM,4.0
AND WHAT ELSE HAPPENED,1.0
AND WHAT HAPPENED THEN,1.0
HM-HM,4.0
YOU WENT HOME WITH MUM,4.0
OKAY SO YOU SAID THAT YOU WENT TO UNCLE GEORGE'S HOUSE WHEN MUM WAS AT WORK,4.0
AND TELL ME MORE ABOUT WHEN THAT HAPPENED,1.0
OKAY SO WHAT HAPPENED FIRST WHEN YOU GOT THERE,2.0
AND WHAT WAS UNCLE GEORGE DOING WHEN YOU WERE WATCHING TV,2.0
ALL RIGHT TELL ME MORE ABOUT THE PART WHEN HE WAS ON THE COMPUTER,1.0
CAN YOU DESCRIBE THE RUDE PEOPLE,2.0
HM-HM TELL ME MORE ABOUT THE RUDE PEOPLE,1.0
YEAH AND THEN WHAT HAPPENED NEXT,1.0
OKAY CAN YOU TELL ME MORE ABOUT THE GAME FOR THE BIG BOY,2.0
WHAT HAPPENED WITH THE BIG BOY GAME,2.0
OKAY SO AFTER THAT GAME WHAT HAPPENED THEN,1.0
OKAY SO I DON'T KNOW YOUR FAMILY CAN YOU TELL ME ABOUT MEMBERS OF YOUR FAMILY,2.0
HM-HM WHO IS IN YOUR FAMILY,1.0
AND DO YOU KNOW IF UNCLE GEORGE IS SOMETIMES CALLED A DIFFERENT NAME,2.0
NO OKAY AND DO YOU KNOW IF A WILLY IS SOMETIMES CALLED A DIFFERENT NAME,4.0
WHAT OTHER NAMES DO YOU KNOW FOR THAT WORD,2.0
AND WHO WAS AT UNCLE GEORGE'S PLACE WHEN YOU WENT THERE THIS DAY,2.0
HM-HM SO YOU SAID THAT HE SQUEEZED YOUR WILLY REALLY HARD AND YOU CRIED,4.0
HOW LONG DID HE SQUEEZE YOUR WILLY,1.0
AND DID UNCLE GEORGE SAY ANYTHING WHEN THAT HAPPENED,2.0
HAVE YOU SEEN UNCLE GEORGE SINCE THEN,2.0
NO AND HOW DO YOU FEEL NOW,4.0
FINE OKAY IS THERE ANYTHING ELSE YOU CAN TELL ME THAT I MIGHT NEED TO KNOW,2.0
OKAY DO YOU HAVE ANY QUESTIONS FOR ME,2.0
NO OKAY WELL THANK YOU FOR TALKING TO ME TODAY I HOPE YOU HAVE A GREAT DAY AND I APPRECIATE YOUR CHAT,4.0
SO JESSICA WHAT HAVE YOU COME TO TALK TO ME ABOUT,0.0
OKAY SO I DON'T KNOW ANYTHING ABOUT THE BAD MAN TELL ME EVERYTHING ABOUT THE BAD MAN AND START FROM THE BEGINNING,0.0
HM-HM,4.0
OKAY CAN YOU TELL ME ALL ABOUT THE PART WHERE YOU MET THE BAD MAN,2.0
SO TELL ME ALL ABOUT THE PART WHERE YOU MET THE BAD MAN,1.0
OKAY SO JESSICA I WASN'T THERE AT THE TOILET IN KMART SO WHAT I'D LIKE YOU TO DO IS FOR YOU TO TELL ME EVERYTHING ABOUT WHAT HAPPENED WHEN YOU WERE AT KMART AND I'D LIKE YOU TO START FROM THE BEGINNING,0.0
HM-HM,4.0
HM-HM AND THEN WHAT HAPPENED,2.0
HM-HM,4.0
YEAH AND SO WHAT ELSE HAPPENED,2.0
HM-HM,4.0
HM-HM,4.0
AND WHAT HAPPENED THEN,2.0
HM-HM,4.0
HM-HM SO TELL ME MORE ABOUT THE PART WHERE YOU WENT INTO THE TOILET,1.0
HM-HM,4.0
TELL ME MORE ABOUT THE PART WHERE THE BAD MAN CAME IN,1.0
HM-HM,4.0
HM-HM AND THEN WHAT HAPPENED,1.0
HM-HM,4.0
AND WHAT HAPPENED THEN JESSICA,1.0
ON YOUR MINI,4.0
HM-HM AND WHAT HAPPENED THEN,1.0
TELL ME MORE ABOUT THE LADY COMING IN,1.0
HM-HM,4.0
OKAY AND WHAT HAPPENED THEN,1.0
OKAY SO WHAT I WOULD LIKE YOU TO DO IS I WANT YOU TO TELL ME MORE ABOUT THE PART WHEN HE PUT HIS HAND ON YOUR MINI,1.0
HM-HM,4.0
HM-HM OKAY AND JESSICA DO YOU KNOW ANY OTHER WORDS FOR MINI,2.0
HM-HM,4.0
PRIVATES,4.0
HM-HM OKAY AND I WANT YOU TO ALL RIGHT SO TELL ME WHAT HAPPENED WHEN THE LADY CAME IN,1.0
HM-HM,4.0
OKAY SO WHAT HAPPENED WHEN HE TOLD YOU THAT HE WAS THE HELPER,1.0
HM-HM,4.0
HM-HM,4.0
YEAH SO I WASN'T THERE WHEN THAT HAPPENED SO I NEED YOU TO TELL ME EVERYTHING ABOUT THAT PART,3.0
OKAY NOW I WANT YOU TO TELL ME EVERYTHING ABOUT THE BAD MAN,1.0
HM-HM,4.0
HM-HM,4.0
JESSICA TELL ME WHAT YOU'VE COME HERE TO TALK TO ME ABOUT TODAY,0.0
THE BAD MAN CAN YOU TELL ME WHY HE'S THE BAD MAN,2.0
YEAH OKAY CAN YOU TELL ME WHAT'S HAPPENED,2.0
YEAH OKAY SO YOUR MUM SAID THAT YOU WENT TO KMART THE OTHER DAY IS THAT RIGHT,3.0
WENT TO KMART OKAY AND CAN YOU TELL ME WHO YOU WENT TO KMART WITH,2.0
YOUR MUM AND YOUR BROTHER OKAY AND DID YOU YOUR MUM SAID THAT YOU WENT TO THE TOILET WHEN YOU WENT TO KMART IS THAT RIGHT,4.0
YEAH AND CAN YOU TELL ME DID YOU TAKE ANYONE INTO THE TOILET WITH YOU,2.0
NO OKAY WHAT HAPPENED WHEN YOU WENT INTO THE TOILETS,4.0
HE FOLLOWED YOU IN SO THIS IS THE BAD MAN THAT YOU WERE JUST TALKING ABOUT,4.0
OKAY AND WHERE WERE THE TOILETS IN KMART DO YOU REMEMBER,2.0
NEAR THE BABY CLOTHES OKAY AND DID YOU SEE THE MAN BEFORE YOU WENT INTO THE TOILETS,4.0
NO OKAY SO A MAN'S FOLLOWED YOU INSIDE THE TOILET BLOCK OR INTO THE ACTUAL TOILET,4.0
IN THE ACTUAL TOILET OKAY AND DID THIS MAN SAY ANYTHING TO YOU WHEN YOU WERE IN THE TOILET,4.0
YEAH CAN YOU TELL ME WHAT CAN YOU REMEMBER WHAT HE SAID,5.0
YEAH WHAT DID HE SAY,2.0
HE'S THE TOILET HELPER OKAY CAN YOU DO YOU REMEMBER WHAT THIS MAN LOOKED LIKE,4.0
YEAH CAN YOU DESCRIBE HIM FOR ME OR CAN YOU REMEMBER WHAT HE LOOKED LIKE CAN YOU TELL ME WHAT HE WAS WEARING,5.0
YEAH WHAT WAS HE WEARING,2.0
A BIG GREEN COAT OKAY COULD YOU DO YOU REMEMBER WHAT HE WAS WEARING ON HIS LEGS,4.0
NO OKAY DO YOU REMEMBER ANYTHING ABOUT THE COAT APART FROM THAT IT WAS GREEN,4.0
IT WAS REALLY BIG OKAY DID IT HAVE ANY WRITING ON IT CAN YOU REMEMBER,4.0
NO OKAY AND YOU SAID THAT HE'S THE TOILET SORRY YOU SAID THAT HE FOLLOWED YOU TO THE TOILET AND HE SAID SOMETHING TO YOU WHAT HAPPENED ONCE HE SPOKE TO YOU IN THE TOILET,4.0
HE HAD TO HELP YOU WIPE OKAY SO DID YOU GO TO THE TOILET IN FRONT OF THIS MAN AT ALL,4.0
YOU DID OKAY AND HE WAS IN THERE WHEN YOU WENT TO THE TOILET IS THAT RIGHT,4.0
AND WHEN YOU SAID HE HAD TO HELP YOU WIPE WHAT DID HE DO,2.0
OKAY AND WHAT'S YOUR MINI,2.0
YOUR PRIVATE OKAY AND DID HE DO ANYTHING ELSE APART FROM TOUCH YOU,4.0
NO OKAY WHAT'S HAPPENED THEN HOW LONG DO YOU THINK HE HAD HIS HAND THERE TOUCHING YOU FOR,5.0
DID IT SEEM LIKE A LONG TIME OR A SHORT TIME,2.0
A LONG TIME OKAY AND DID HE HELP YOU WIPE,4.0
YEAH AND DID YOU DO A NUMBER ONE OR A NUMBER TWO,2.0
A NUMBER ONE OKAY AND SO DID HE USE TOILET PAPER TO DO THAT OR DID HE NOT USE TOILET PAPER,4.0
HE DIDN'T USE TOILET PAPER OKAY SO HE TOUCHED YOU WHICH SEEMED LIKE A LONG TIME DID HE WAS IT JUST ON THE OUTSIDE OR DID HE TOUCH YOU ON THE INSIDE TOO,4.0
THE OUTSIDE OKAY SO WHAT'S HAPPENED AFTER THAT,4.0
A LADY CAME IN,4.0
OKAY AND WHAT DID THE LADY DO,2.0
SHE ASKED YOU IF YOU WERE OKAY OKAY COULD YOU SEE YOU AND THE MAN IN THE TOILET TOGETHER,4.0
OKAY DO YOU REMEMBER WAS THE TOILET DOOR OPEN OR WAS IT CLOSED,2.0
CLOSED OKAY BUT SHE SAW YOU IN THERE DID SHE,4.0
OKAY WHAT DID THE MAN DID THE MAN SAY OR DO ANYTHING WHEN SHE SAID THAT,2.0
HE WASN'T THERE SO DID HE LEAVE WHEN THE LADY CAME IN DID HE,3.0
OKAY AND DID HE SPEAK TO HER AT ALL DO YOU REMEMBER,2.0
NO OKAY SO THE LADY'S WALKED IN AND ASKED IF YOU'RE OKAY AND THE MAN HAS JUST WALKED OUT,4.0
OKAY DID YOU SAY ANYTHING TO THE LADY,2.0
NO SO WHEN SHE ASKED IF YOU'RE OKAY YOU DIDN'T SAY ANYTHING TO HER,4.0
NO OKAY SO WHAT DID YOU DO AFTER THAT,4.0
YOU WENT BACK TO YOUR MUM OKAY AND DID YOU TELL YOUR MUM WHAT HAPPENED,4.0
YEAH CAN YOU REMEMBER WHAT YOU SAID TO YOUR MUM,4.0
YEAH WHAT DID YOU SAY,4.0
OKAY AND WHAT JESSICA DO YOU REMEMBER WHAT YOU WERE WEARING WHEN YOU WENT TO THE TOILET,2.0
YEAH WHAT WAS YOU WEARING,2.0
A DRESS OKAY AND WHAT COLOUR WAS YOUR DRESS,4.0
PINK OKAY AND WAS IT JUST PLAIN PINK OR DID IT HAVE PICTURES ON IT OR,4.0
JUST PLAIN PINK OKAY SO DID YOU TELL YOUR MUM ABOUT THE MAN THAT FOLLOWED YOU INTO THE TOILET,4.0
OKAY CAN YOU REMEMBER CAN YOU REMEMBER ANYTHING SPECIFIC ABOUT THE MAN APART FROM THE FACT THAT HE WAS WEARING A GREEN JACKET,2.0
NO OKAY WAS HE TALL OR WAS HE SHORT,4.0
HE WAS TALL OKAY AND HOW OLD DO YOU THINK HE MIGHT HAVE BEEN,4.0
OLD SO DID HE HAVE GREY HAIR OR DID HE HAVE WHAT COLOUR HAIR DID HE HAVE,5.0
HE HAD GREY OKAY DO YOU REMEMBER IF HE HAD ANY FACIAL ANY HAIR ON HIS FACE OR NOT,5.0
YEAH WHEREABOUTS,1.0
ON HIS CHIN OKAY YEAH DID HE HAVE ANY HAIR ANYWHERE ELSE ON HIS FACE,4.0
NO SO ON HIS CHIN OKAY WAS IT SHORT HAIR OR LONG HAIR ON HIS CHIN,4.0
SHORT HAIR OKAY SO DID IT LOOK LIKE A BEARD OR DID IT LOOK LIKE IT WAS JUST SORT OF A STUBBLE,4.0
A BEARD OKAY AND WHAT COLOUR WAS HIS BEARD,4.0
GREY OKAY AND YOU SAID THAT HIS HAIR WAS GREY CAN YOU REMEMBER WHAT HIS HAIR LOOKED LIKE,4.0
CAN YOU REMEMBER IF IT WAS IF HIS HAIR WAS LONG OR SHORT,2.0
SHORT OKAY AND DO YOU KNOW IF IT WAS HIS HAIR COMPLETELY GREY OR DID IT HAVE ANOTHER COLOUR,4.0
JUST GREY,4.0
OKAY AND DID HE HAVE ALL OF HIS HAIR ON HIS HEAD,2.0
HAD ALL HIS HAIR OKAY AND DO YOU KNOW WHAT TYPE OF HAIRSTYLE HE HAD SO YOU SAID IT WAS SHORT WAS IT SORT OF WAS IT MESSY OR WAS IT I GUESS REALLY SHORT LIKE REALLY REALLY SHORT HAIR OR WAS IT LONGER OR DO YOU REMEMBER,5.0
NO OKAY SO YOU SAID HE WAS WEARING A GREEN BIG JACKET SO DOES THAT MEAN SO COULD YOU SEE HIS ARMS OR ANYTHING LIKE THAT,4.0
NO OKAY SO DID YOU NOTICE ANY MARKING OR ANY TATTOOS OR ANYTHING ON HIM AT ALL,4.0
NO OKAY WHAT ABOUT ANY PIERCINGS LIKE DID HE HAVE ANY EARRINGS OR JEWELLERY OR ANYTHING LIKE THAT DO YOU REMEMBER THAT,4.0
NO OKAY DO YOU KNOW WHAT COLOUR EYES HE HAD,2.0
YEAH WHAT COLOUR WERE THEY,2.0
BLUE OKAY SO HE HAD BLUE EYES AND GREY HAIR WITH A SHORT BEARD ON HIS CHIN,4.0
OKAY AND DO YOU REMEMBER WHAT COLOUR HIS SKIN WAS,2.0
OKAY WHAT SORT OF THINGS DO YOU LIKE TO DO WITH YOUR COUSIN,2.0
OKAY,4.0
OKAY TELL ME ALL ABOUT STAYING AT YOUR COUSIN'S HOUSE,1.0
OKAY AND YOU STAY ON THE BLOW-UP MATTRESS OKAY TELL ME ABOUT THE LAST TIME YU STAYED AT YOUR COUSIN'S HOUSE,4.0
SORRY HE WOKE YOU UP IN THE MIDDLE OF THE NIGHT,4.0
YEAH OKAY AND WHAT HAPPENED,2.0
OH OKAY YEAH,4.0
