Question,Label
JESSICA TELL ME WHAT YOU'VE COME TO TALK TO ME ABOUT TODAY,0
YES ABOUT CHURCH CAN YOU TELL ME WHEN YOU LAST WENT TO CHURCH EVERYTHING THAT HAPPENED THAT DAY,1
START FROM THE BEGINNING,0
YEAH,2
AH-HA,2
YEAH,2
OKAY,2
OKAY AND THEN WHAT DID YOU DO,0
YEAH,2
HM-HM,2
OKAY SO TELL ME ABOUT THAT PART,0
YEAH,2
OKAY,2
OKAY AND WHAT HAPPENED NEXT,0
YEAH,2
AND THEN WHAT HAPPENED,0
HM-HM,2
YEAH,2
AND THEN WHAT HAPPENED,0
OKAY,2
OKAY AND WHAT HAPPENED NEXT,0
YEAH,2
OKAY CAN I JUST TAKE YOU BACK TO WHEN THE MAN WAS IN THE TOILET AND HE TOLD YOU TO BE QUIET,0
DID HE SAY ANYTHING ELSE TO YOU,1
TELL ME WHAT HE SAID,1
YEAH,2
OKAY DID YOU KNOW THE MAN JESSICA,1
HOW DID YOU KNOW THE MAN,1
OKAY DO YOU KNOW THE MAN'S NAME,1
OKAY HAD THE MAN SPOKEN TO YOU BEFORE,1
CAN YOU TELL ME WHAT HAPPENED WHEN THE MAN SPOKE TO YOU BEFORE,1
FROM THE BEGINNING,0
HM-HM,2
OKAY AND HAS THE MAN EVER COME INTO THE TOILETS BEFORE,1
OKAY IS THERE ANYTHING ELSE THAT YOU CAN TELL ME JESSICA ABOUT THAT TIME IN THE TOILETS,1
OKAY OKAY WELL THANKS FOR TALKING TO ME JESSICA AND THANKS FOR TELLING ME ABOUT WHAT HAPPENED TO YOU AND I'M GLAD THAT THE MAN WENT AWAY AND THE LADY HELPED YOU WHEN YOU WERE ABLE TO GO BACK TO YOUR MUM,2
AND I MIGHT HAVE A CHAT WITH YOUR MUM THEN ABOUT THAT BUT THANK YOU FOR TALKING TO ME AND YOU'VE GOT A VERY GOOD MEMORY AND YOU'VE TOLD ME LOTS OF THINGS THAT HAPPENED SO THAT'S BEEN REALLY GOOD,2
HARRY WHAT YOU'VE COME HERE TO TALK TO ME ABOUT TODAY,0
WELL I WASN'T WITH YOU WHEN UNCLE GEORGE WAS RUDE TO YOU SO TELL ME EVERYTHING THAT HAPPENED AND WE'LL START FROM THE BEGINNING,0
