Question,Label
"Could you share with me all the things you wanted to discuss today, Jessica?",0
"Did something specific happen the last time you went to church? Could you describe it?",1
"Can you describe what happened right from the start?",0
"Are you sure that something unpleasant happened to you when you were with your sibling?",2
"Did something inappropriate occur when you were with your sibling?",2
"Did something happen to you when you were with that person?",2
"Was there something unpleasant that occurred when you were with your brother?",2
"What happened next, can you share with me?",0
"Did something happen to you when you were with your sibling?",2
"Did something happen to you when you were with your brother?",2
"Could you describe what happened during that part?",0
"Did something happen to you while you were with your sibling?",2
"ARE YOU SURE YOU WERE HURT WHEN YOU WERE WITH YOUR BROTHER?",2
"Can you describe what happened after that?",0
"Did something unpleasant occur while you were with your sibling?",2
"What happened after that?",0
"Did someone do something to you that you didn’t like?",2
"Did something unpleasant occur when you were with your brother?",2
"Could you describe what happened afterward?",0
"Did anything happen between you and your brother that wasn't right?",2
"Can you describe what happened after that?",0
"DID YOU HAVE A NEGATIVE EXPERIENCE WHILE BEING AROUND YOUR BROTHER?",2
"Could you go over what happened when the man was in the bathroom and asked you to stay silent?",0
"Did he mention anything else to you?",1
"Did he say something specific to you?",1
"Did something unpleasant occur when you were with your brother?",2
"Did you know the person named Jessica?",1
"Did the man introduce himself to you, or did someone else tell you who he was?",1
"Do you happen to remember what the man's name is?",1
"Had the man talked to you earlier?",1
"Did the man say anything to you earlier?",1
"Could you start by telling me how everything unfolded from the start?",0
"Did something happen when you were with your sibling?",2
"Has the man been inside the bathrooms before?",1
"Were you able to recall any other details about what happened in the toilets, Jessica?",1
"Did you feel safer after the man left and the woman helped you return to your mom?",2
"IT SEEMS YOU HAVE A GREAT MEMORY BECAUSE YOU'VE SHARED SO MANY DETAILS WITH ME; PERHAPS I SHOULD ALSO SPEAK WITH YOUR MUM ABOUT THIS.",2
"What would you like to discuss with me today, Harry?",0
"Could you please explain everything that occurred with Uncle George while I wasn't there? Let's start from the beginning.",0
"Did your brother hurt you when you were together?",2
"Does he take care of you when your mom is at work?",2
"Could you describe what took place while you were at Uncle George’s house?",0
"Did something happen to you when you were with someone else?",2
"Could you describe what occurred after that?",0
"Was it uncomfortable when you were with him?",2
"Could you describe what occurred after that?",0
"Did something happen to you while you were with your brother?",2
"Can you describe what happened after that?",0
"Could you describe what occurred after that?",0
"Did your brother do something that wasn't okay to you?",2
"WHEN YOU LEFT, WERE YOU WITH YOUR MOM?",2
"Was it when your mom was at work that you visited Uncle George's house?",2
"Could you describe what occurred during that time?",0
"When you arrived, what was the first thing that took place?",1
"Were you watching TV while Uncle George was doing something else?",1
"Can you explain further about the time when he was using the computer?",0
"Can you explain who the mean people were?",1
"Can you share more about the people who treated you rudely?",0
"Can you continue telling me what happened after that?",0
"Were you playing the game with the older boy or someone else?",1
"Were you playing with the big kid game or doing something else?",1
"Alright, can you describe what happened next after the game?",0
"Do you mind sharing some information about who is in your family?",1
"Could you describe who is part of your family?",0
"Does Uncle George ever go by another name that you know of?",1
"Do you happen to know if there are other names for a willy?",1
"Do you know any other terms for that word?",1
