Question,Label
"Could you share with me all the things you wanted to discuss today, Jessica?",0
"Can you describe what happened right from the start?",0
"What happened next, can you share with me?",0
"Could you describe what happened during that part?",0
"Can you describe what happened after that?",0
"What happened after that?",0
"Could you describe what happened afterward?",0
"Can you describe what happened after that?",0
"Could you go over what happened when the man was in the bathroom and asked you to stay silent?",0
"Could you start by telling me how everything unfolded from the start?",0
"What would you like to discuss with me today, Harry?",0
"Could you please explain everything that occurred with Uncle George while I wasn't there? Let's start from the beginning.",0
"Could you describe what took place while you were at Uncle George’s house?",0
"Could you describe what occurred after that?",0
"Could you describe what occurred after that?",0
"Can you describe what happened after that?",0
"Could you describe what occurred after that?",0
"Could you describe what occurred during that time?",0
"Can you explain further about the time when he was using the computer?",0
"Can you share more about the people who treated you rudely?",0
"Can you continue telling me what happened after that?",0
"Alright, can you describe what happened next after the game?",0
"Could you describe who is part of your family?",0
"Could you describe the duration he held onto your private area?",0
"How are you feeling at this moment?",0
"What would you like to discuss with me today, Jessica?",0
"Could you please tell me everything about the bad man, starting from the beginning?",0
"Could you describe everything that happened when you met the man who caused trouble?",0
"Could you please describe everything that occurred at the Kmart restroom, starting from the very beginning?",0
"Can you describe what took place next?",0
"Could you describe what more occurred?",0
"Can you describe what occurred after that?",0
"Can you share more details about what happened when you entered the bathroom?",0
"Can you describe in detail what happened when the bad man entered the room?",0
"Could you describe what happened next?",0
"Could you describe what took place after that, Jessica?",0
"Can you describe what took place after that?",0
"Could you describe in detail what happened with the woman who came in?",0
"Could you describe what occurred after that?",0
"Could you please describe in more detail the moment when he placed his hand on your mini?",0
"Could you go ahead and describe everything that took place when the woman entered?",0
"Could you describe what occurred after he mentioned that he was the assistant?",0
"Could you describe in detail what happened with the person who hurt you?",0
"What would you like to share with me today, Jessica?",0
"Can you explain to me what took place when you entered the restroom?",0
"Can you describe what took place after he spoke to you in the bathroom?",0
"Could you describe everything that occurred after that event?",0
"What happened next after that?",0
"Can you describe where exactly it happened?",0
"What can you share about your time staying at your cousin's place?",0
"Can you describe what happened the last time you slept over at your cousin's house?",0
"Can you go ahead and describe what happened after something happened with your bottom?",0
"What happened after that?",0
"Could you describe everything that happened when he had the soil on his hand?",0
"YOU MENTIONED EARLIER THAT HE PUT SOMETHING IN YOUR BOTTOM. CAN YOU DESCRIBE EVERYTHING ABOUT THAT INCIDENT?",0
"Could you describe everything that happened when he had the dirty spot on his hand?",0
"Can you describe what happened after he had his pants down?",0
"Could you tell me what occurred once you began to cry?",0
