Question,labels
AND THEN WHAT HAPPENS,1
OKAY AND THEN YOU GET OUT OKAY AND CAN YOU TELL ME YOU SAID THAT YOU HAVE A BATH WITH HIM EVERY NIGHT CAN YOU TELL ME HOW OFTEN YOU GUYS PLAY TICKLING GAMES,2
YEAH DOES MR MATTHEWS SOMETIMES TOUCH YOUR WEE-WEE,2
TELL ME ABOUT THAT,1
AND THEN WHAT HAPPENED NEXT,1
CAN YOU TELL ME ABOUT THAT,2
OKAY OKAY AND TELL ME WHAT HAPPENS WHEN YOU'RE IN THE TUNNEL,1
IT REALLY HURT THAT'S NOT GOOD SO WHAT DID YOU DO AFTER HE HIT YOU WHAT DID YOU DO,2
WHAT'S THE OTHER NAME FOR IT,2
OKAY AND WAS HE FULLY DRESSED,2
AND WHAT HAPPENED AFTER YOUR MUM PICKED YOU UP,1
AND YOU WERE BEING THE PATIENT WHAT HAPPENED NEXT,1
IS THERE ANYTHING ELSE THAT YOU CAN TELL ME ABOUT HIM,2
HM-HM TELL ME ABOUT WHEN YOU'VE BEEN IN THE CUPBOARD BEFORE,1
OKAY WHAT ELSE DO YOU DO,2
OKAY OKAY AND WHEN YOU SAY STICK WHAT CAN YOU TELL ME WHAT YOU MEAN BY THAT,2
HI ISABELLE TELL ME WHAT YOU'VE COME HERE TO TALK TO ME ABOUT TODAY,0
YEAH TELL ME MORE ABOUT WHAT YOU DID WHEN YOU GOT HOME,1
NO AND ARE THERE ANY TIMES WHERE YOU DO FEEL SAFE WITH YOUR BROTHER,2
YES AND WHAT DOES IT LOOK LIKE IS IT LONG IS IT SHORT IS IT ROUND IS IT A SQUARE,2
HOW LONG DOES THE GAME GO FOR,2
AND HOW MANY DAYS DO YOU DO PE,2
WHAT HAPPENED THEN,1
OKAY HOW DID DAD RUN AWAY,2
OKAY SO IT WAS THE NEXT DAY,2
THAT'S OKAY SO WHAT HAPPENED WHEN YOU SEE HIS DIRTY SPOT,1
YEAH OKAY DID SOMETHING HAPPEN WHILE YOU WERE PLAYING HIDE AND SEEK,2
OKAY SO WHAT HAPPENED NEXT,1
HOW OLD IS CALLUM,2
: DID YOU SAY ANYTHING TO CALLUM WHILE HE WAS HITTING YOU WITH THE BIG STICK,2
: BLUE SHORTS WAS HE WEARING ANYTHING ELSE,2
OKAY AND WHAT HAPPENED AFTER THAT,1
AND IS THE SHOW AND TELL GAME HAS THAT HAPPEN MORE THAN ONCE,2
NO ONE ELSE OKAY WHEN DID YOUR STEPHEN LAST TICKLE YOU,2
OKAY TELL ME EVERYTHING ABOUT THE PART WHEN JOHNNY STICKS A STICK UP YOUR BUM,1
